Spices,Location, Price ,Price_cat,Price_norm,Date
CORIANDER,CHENNAI, ₹87.50 ,low,0.024655385,1/1/2021
CORIANDER,CHENNAI, ₹82.50 ,low,0.022413986,2/1/2021
CORIANDER,CHENNAI, ₹82.50 ,low,0.022413986,3/1/2021
CORIANDER,CHENNAI, ₹85.80 ,low,0.023893309,4/1/2021
CORIANDER,CHENNAI, ₹83.12 ,low,0.02269192,5/1/2021
CORIANDER,CHENNAI, ₹82.50 ,low,0.022413986,8/1/2021
CORIANDER,CHENNAI, ₹86.50 ,low,0.024207105,9/1/2021
CORIANDER,CHENNAI, ₹98.12 ,low,0.029416116,10/1/2021
CORIANDER,CHENNAI, ₹101.25 ,low,0.030819231,11/1/2021
CORIANDER,CHENNAI, ₹91.00 ,low,0.026224364,12/1/2021
CORIANDER,CHENNAI, ₹93.75 ,low,0.027457133,1/1/2022
CORIANDER,CHENNAI, ₹105.62 ,low,0.032778214,2/1/2022
CORIANDER,CHENNAI, ₹120.00 ,low,0.039224476,3/1/2022
CORIANDER,CHENNAI, ₹114.00 ,low,0.036534798,12/1/2022
CORIANDER,CHENNAI, ₹95.00 ,low,0.028017483,1/1/2023
CORIANDER,CHENNAI, ₹85.62 ,low,0.023812619,2/1/2023
CORIANDER,CHENNAI, ₹79.50 ,low,0.021069147,3/1/2023
CORIANDER,CHENNAI, ₹75.62 ,low,0.019329822,4/1/2023
CORIANDER,CHENNAI, ₹72.50 ,low,0.017931189,5/1/2023
CORIANDER,CHENNAI, ₹77.50 ,low,0.020172588,6/1/2023
CORIANDER,CHENNAI, ₹83.00 ,low,0.022638126,7/1/2023
CORIANDER,CHENNAI, ₹96.25 ,low,0.028577833,8/1/2023
CORIANDER,CHENNAI, ₹89.00 ,low,0.025327805,9/1/2023
CORIANDER,CHENNAI, ₹100.00 ,low,0.030258882,10/1/2023
CORIANDER,CHENNAI, ₹118.12 ,low,0.03838171,11/1/2023
CORIANDER,CHENNAI, ₹122.50 ,low,0.040345175,12/1/2023
FENNEL,CHENNAI, ₹91.62 ,low,0.026502297,1/1/2021
FENNEL,CHENNAI, ₹90.62 ,low,0.026054018,2/1/2021
FENNEL,CHENNAI, ₹107.50 ,low,0.033620979,3/1/2021
FENNEL,CHENNAI, ₹114.40 ,low,0.03671411,4/1/2021
FENNEL,CHENNAI, ₹112.00 ,low,0.035638238,5/1/2021
FENNEL,CHENNAI, ₹116.00 ,low,0.037431357,6/1/2021
FENUGREEK,CHENNAI, ₹70.50 ,low,0.01703463,1/1/2021
FENUGREEK,CHENNAI, ₹69.25 ,low,0.01647428,2/1/2021
FENUGREEK,CHENNAI, ₹74.25 ,low,0.018715679,3/1/2021
FENUGREEK,CHENNAI, ₹76.80 ,low,0.019858792,4/1/2021
FENUGREEK,CHENNAI, ₹81.50 ,low,0.021965707,5/1/2021
FENUGREEK,CHENNAI, ₹80.83 ,low,0.021665359,6/1/2021
FENUGREEK,CHENNAI, ₹80.80 ,low,0.021651911,7/1/2021
FENUGREEK,CHENNAI, ₹92.50 ,low,0.026896784,8/1/2021
FENUGREEK,CHENNAI, ₹100.00 ,low,0.030258882,9/1/2021
FENUGREEK,CHENNAI, ₹96.20 ,low,0.028555419,10/1/2021
FENUGREEK,CHENNAI, ₹94.50 ,low,0.027793343,11/1/2021
FENUGREEK,CHENNAI, ₹95.00 ,low,0.028017483,12/1/2021
FENUGREEK,CHENNAI, ₹90.00 ,low,0.025776084,1/1/2022
FENUGREEK,CHENNAI, ₹88.25 ,low,0.024991595,2/1/2022
FENUGREEK,CHENNAI, ₹87.87 ,low,0.024821248,3/1/2022
FENUGREEK,CHENNAI, ₹80.00 ,low,0.021293287,4/1/2022
FENUGREEK,CHENNAI, ₹85.50 ,low,0.023758826,5/1/2022
FENUGREEK,CHENNAI, ₹85.66 ,low,0.02383055,6/1/2022
FENUGREEK,CHENNAI, ₹85.00 ,low,0.023534686,7/1/2022
FENUGREEK,CHENNAI, ₹83.33 ,low,0.022786059,8/1/2022
FENUGREEK,CHENNAI, ₹69.70 ,low,0.016676006,9/1/2022
FENUGREEK,CHENNAI, ₹75.62 ,low,0.019329822,10/1/2022
FENUGREEK,CHENNAI, ₹77.50 ,low,0.020172588,11/1/2022
FENUGREEK,CHENNAI, ₹77.50 ,low,0.020172588,12/1/2022
FENUGREEK,CHENNAI, ₹90.00 ,low,0.025776084,1/1/2023
FENUGREEK,CHENNAI, ₹92.50 ,low,0.026896784,2/1/2023
FENUGREEK,CHENNAI, ₹80.00 ,low,0.021293287,3/1/2023
FENUGREEK,CHENNAI, ₹81.66 ,low,0.022037431,4/1/2023
FENUGREEK,CHENNAI, ₹82.50 ,low,0.022413986,5/1/2023
FENUGREEK,CHENNAI, ₹83.12 ,low,0.02269192,6/1/2023
FENUGREEK,CHENNAI, ₹88.00 ,low,0.024879525,7/1/2023
FENUGREEK,CHENNAI, ₹91.87 ,low,0.026614367,8/1/2023
FENUGREEK,CHENNAI, ₹94.50 ,low,0.027793343,9/1/2023
FENUGREEK,CHENNAI, ₹95.62 ,low,0.028295416,10/1/2023
FENUGREEK,CHENNAI, ₹115.00 ,low,0.036983077,11/1/2023
FENUGREEK,CHENNAI, ₹117.00 ,low,0.037879637,12/1/2023
GARLIC,CHENNAI, ₹85.00 ,low,0.023534686,1/1/2021
GARLIC,CHENNAI, ₹81.87 ,low,0.02213157,2/1/2021
GARLIC,CHENNAI, ₹65.62 ,low,0.014847025,3/1/2021
GARLIC,CHENNAI, ₹80.80 ,low,0.021651911,4/1/2021
GARLIC,CHENNAI, ₹78.75 ,low,0.020732937,5/1/2021
GARLIC,CHENNAI, ₹89.17 ,low,0.025404012,6/1/2021
GARLIC,CHENNAI, ₹85.00 ,low,0.023534686,7/1/2021
GARLIC,CHENNAI, ₹85.00 ,low,0.023534686,8/1/2021
GARLIC,CHENNAI, ₹77.50 ,low,0.020172588,9/1/2021
GARLIC,CHENNAI, ₹81.00 ,low,0.021741567,10/1/2021
GARLIC,CHENNAI, ₹85.00 ,low,0.023534686,11/1/2021
GARLIC,CHENNAI, ₹77.50 ,low,0.020172588,12/1/2021
GARLIC,CHENNAI, ₹52.00 ,low,0.008741455,1/1/2022
GARLIC,CHENNAI, ₹47.50 ,low,0.006724196,2/1/2022
GARLIC,CHENNAI, ₹47.50 ,low,0.006724196,3/1/2022
GARLIC,CHENNAI, ₹45.00 ,low,0.005603497,4/1/2022
GARLIC,CHENNAI, ₹40.63 ,low,0.003644514,5/1/2022
GARLIC,CHENNAI, ₹36.66 ,low,0.001864844,6/1/2022
GARLIC,CHENNAI, ₹42.50 ,low,0.004482797,7/1/2022
GARLIC,CHENNAI, ₹42.50 ,low,0.004482797,8/1/2022
GARLIC,CHENNAI, ₹34.37 ,low,0.000838283,10/1/2022
GARLIC,CHENNAI, ₹43.75 ,low,0.005043147,11/1/2022
GARLIC,CHENNAI, ₹36.00 ,low,0.001568979,12/1/2022
GARLIC,CHENNAI, ₹38.75 ,low,0.002801748,1/1/2023
GARLIC,CHENNAI, ₹51.25 ,low,0.008405245,2/1/2023
GARLIC,CHENNAI, ₹67.00 ,low,0.015465651,3/1/2023
GARLIC,CHENNAI, ₹51.87 ,low,0.008683178,4/1/2023
GARLIC,CHENNAI, ₹54.37 ,low,0.009803878,5/1/2023
GARLIC,CHENNAI, ₹66.25 ,low,0.015129441,6/1/2023
GARLIC,CHENNAI, ₹105.00 ,low,0.03250028,7/1/2023
GARLIC,CHENNAI, ₹108.75 ,low,0.034181329,8/1/2023
