Mon_Year,Spices,Location,Grade,Price
Jan-21,AJWAN SEED,CHENNAI,,130
Feb-21,AJWAN SEED,CHENNAI,,130
Mar-21,AJWAN SEED,CHENNAI,,145
Apr-21,AJWAN SEED,CHENNAI,,140
May-21,AJWAN SEED,CHENNAI,,140
Jun-21,AJWAN SEED,CHENNAI,,154.67
Jul-21,AJWAN SEED,CHENNAI,,184
Aug-21,AJWAN SEED,CHENNAI,,181
Sep-21,AJWAN SEED,CHENNAI,,180
Oct-21,AJWAN SEED,CHENNAI,,180
Nov-21,AJWAN SEED,CHENNAI,,180
Dec-21,AJWAN SEED,CHENNAI,,178.75
Jan-22,AJWAN SEED,CHENNAI,,184
Feb-22,AJWAN SEED,CHENNAI,,175
Mar-22,AJWAN SEED,CHENNAI,,170
Apr-22,AJWAN SEED,CHENNAI,,175.4
May-22,AJWAN SEED,CHENNAI,,178.5
Jun-22,AJWAN SEED,CHENNAI,,173.33
Jul-22,AJWAN SEED,CHENNAI,,174
Aug-22,AJWAN SEED,CHENNAI,,163.75
Sep-22,AJWAN SEED,CHENNAI,,158.5
Oct-22,AJWAN SEED,CHENNAI,,167.5
Nov-22,AJWAN SEED,CHENNAI,,191.25
Dec-22,AJWAN SEED,CHENNAI,,218
Jan-23,AJWAN SEED,CHENNAI,,215
Feb-23,AJWAN SEED,CHENNAI,,206.25
Mar-23,AJWAN SEED,CHENNAI,,183
Apr-23,AJWAN SEED,CHENNAI,,170
May-23,AJWAN SEED,CHENNAI,,177.5
Jun-23,AJWAN SEED,CHENNAI,,181.25
Jul-23,AJWAN SEED,CHENNAI,,214
Aug-23,AJWAN SEED,CHENNAI,,242.5
Sep-23,AJWAN SEED,CHENNAI,,214
Oct-23,AJWAN SEED,CHENNAI,,190
Nov-23,AJWAN SEED,CHENNAI,,167.5
Dec-23,AJWAN SEED,CHENNAI,,180
Jan-21,BLACK PEPPER(MG1),COCHIN,,346.11
Feb-21,BLACK PEPPER(MG1),COCHIN,,346.67
Mar-21,BLACK PEPPER(MG1),COCHIN,,375.04
Apr-21,BLACK PEPPER(MG1),COCHIN,,402.09
